Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-05-18,2,10000,1100,Ground out of 2,1,Bandel,Kolkata,1,Bachelors/Family,2,Contact Owner
2022-05-13,2,20000,800,1 out of 3,1,"Phool Bagan, Kankurgachi",Kolkata,2,Bachelors/Family,1,Contact Owner
2022-05-16,2,17000,1000,1 out of 3,1,Salt Lake City Sector 2,Kolkata,2,Bachelors/Family,1,Contact Owner
2022-07-04,2,10000,800,1 out of 2,1,Dumdum Park,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-05-09,2,7500,850,1 out of 2,2,South Dum Dum,Kolkata,1,Bachelors,1,Contact Owner
2022-04-29,2,7000,600,Ground out of 1,1,Thakurpukur,Kolkata,1,Bachelors/Family,2,Contact Owner
2022-06-21,2,10000,700,Ground out of 4,1,Malancha,Kolkata,1,Bachelors,2,Contact Agent
2022-06-21,1,5000,250,1 out of 2,1,Malancha,Kolkata,1,Bachelors,1,Contact Agent
2022-06-07,2,26000,800,1 out of 2,2,"Palm Avenue Kolkata, Ballygunge",Kolkata,1,Bachelors,2,Contact Agent
2022-06-20,2,10000,1000,1 out of 3,2,Natunhat,Kolkata,2,Bachelors/Family,2,Contact Owner
2022-05-23,3,25000,1200,1 out of 4,2,"Action Area 1, Rajarhat Newtown",Kolkata,2,Bachelors/Family,2,Contact Agent
2022-06-07,1,5000,400,1 out of 1,2,Keshtopur,Kolkata,1,Bachelors/Family,1,Contact Agent
2022-05-14,1,6500,250,1 out of 4,2,"Tarulia, Keshtopur",Kolkata,2,Bachelors,1,Contact Owner
2022-05-09,1,5500,375,1 out of 2,2,Dum Dum Metro,Kolkata,1,Bachelors/Family,1,Contact Agent
2022-05-05,3,8500,900,Ground out of 2,2,Paschim Barisha,Kolkata,1,Bachelors,2,Contact Owner
2022-06-01,3,40000,1286,1 out of 1,2,New Town Action Area 1,Kolkata,2,Bachelors/Family,2,Contact Owner
2022-05-17,2,6000,600,1 out of 2,1,Barasat,Kolkata,2,Bachelors/Family,1,Contact Owner
2022-06-20,2,10000,800,Ground out of 2,1,Behala,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-09,2,11000,2000,Ground out of 3,2,Behala Chowrasta,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-09,2,6000,660,1 out of 2,1,Behala,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-07-02,2,7900,650,1 out of 2,2,Santoshpur,Kolkata,1,Family,1,Contact Owner
2022-06-14,2,9000,400,2 out of 3,2,"Garia Station, Garia",Kolkata,1,Bachelors,2,Contact Owner
2022-06-15,1,4000,300,Ground out of 4,2,"Garia Station, Garia",Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-15,3,6500,1600,Ground out of 2,1,Joka,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-05-28,1,8000,400,1 out of 2,1,Sreebhumi,Kolkata,2,Bachelors,1,Contact Agent
2022-05-22,2,7000,1000,1 out of 1,1,Rajarhat,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-18,1,5300,355,1 out of 1,2,Dum Dum,Kolkata,2,Bachelors/Family,1,Contact Agent
2022-06-25,2,6000,1000,Ground out of 3,1,"Kodalia, Hooghly-Chinsurah",Kolkata,2,Bachelors/Family,1,Contact Owner
2022-06-22,2,8500,800,4 out of 5,1,Baguiati,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-25,2,12500,850,Ground out of 2,1,"Rabindra Sarobar Area, Dhakuria",Kolkata,1,Bachelors/Family,2,Contact Owner
2022-05-21,1,7500,350,Ground out of 2,2,Baghajatin,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-06-26,2,15000,900,Ground out of 2,2,"Project Kaikhali, Vip Road",Kolkata,1,Bachelors/Family,2,Contact Owner
2022-06-16,2,6000,550,1 out of 1,1,Vip Road,Kolkata,2,Bachelors/Family,1,Contact Owner
2022-06-29,2,5000,500,Ground out of 2,2,Baruipur,Kolkata,1,Bachelors/Family,2,Contact Owner
2022-05-10,3,22000,1100,2 out of 3,2,Dumdum Park,Kolkata,1,Bachelors/Family,1,Contact Owner
2022-05-12,2,15000,850,1 out of 2,2,Sreebhumi,Kolkata,2,Bachelors/Family,1,Contact Owner
2022-06-03,2,12500,800,2 out of 2,2,Shyam Bazar,Kolkata,1,Bachelors,1,Contact Agent
2022-05-31,2,7000,630,Ground out of 3,2,Birati,Kolkata,1,Bachelors,1,Contact Owner
2022-06-10,2,21000,900,1 out of 2,2,Bansdroni,Kolkata,2,Bachelors,2,Contact Owner
