BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,10000,1100,1,Bandel,Kolkata,1,Bachelors/Family,2
2,20000,800,1,"Phool Bagan, Kankurgachi",Kolkata,2,Bachelors/Family,1
2,17000,1000,1,Salt Lake City Sector 2,Kolkata,2,Bachelors/Family,1
2,10000,800,1,Dumdum Park,Kolkata,1,Bachelors/Family,1
2,7500,850,2,South Dum Dum,Kolkata,1,Bachelors,1
2,7000,600,1,Thakurpukur,Kolkata,1,Bachelors/Family,2
2,10000,700,1,Malancha,Kolkata,1,Bachelors,2
1,5000,250,1,Malancha,Kolkata,1,Bachelors,1
2,26000,800,2,"Palm Avenue Kolkata, Ballygunge",Kolkata,1,Bachelors,2
2,10000,1000,2,Natunhat,Kolkata,2,Bachelors/Family,2
3,25000,1200,2,"Action Area 1, Rajarhat Newtown",Kolkata,2,Bachelors/Family,2
1,5000,400,2,Keshtopur,Kolkata,1,Bachelors/Family,1
1,6500,250,2,"Tarulia, Keshtopur",Kolkata,2,Bachelors,1
1,5500,375,2,Dum Dum Metro,Kolkata,1,Bachelors/Family,1
3,8500,900,2,Paschim Barisha,Kolkata,1,Bachelors,2
3,40000,1286,2,New Town Action Area 1,Kolkata,2,Bachelors/Family,2
2,6000,600,1,Barasat,Kolkata,2,Bachelors/Family,1
2,10000,800,1,Behala,Kolkata,1,Bachelors/Family,1
2,11000,2000,2,Behala Chowrasta,Kolkata,1,Bachelors/Family,1
2,6000,660,1,Behala,Kolkata,1,Bachelors/Family,1
2,7900,650,2,Santoshpur,Kolkata,1,Family,1
2,9000,400,2,"Garia Station, Garia",Kolkata,1,Bachelors,2
1,4000,300,2,"Garia Station, Garia",Kolkata,1,Bachelors/Family,1
3,6500,1600,1,Joka,Kolkata,1,Bachelors/Family,1
1,8000,400,1,Sreebhumi,Kolkata,2,Bachelors,1
2,7000,1000,1,Rajarhat,Kolkata,1,Bachelors/Family,1
1,5300,355,2,Dum Dum,Kolkata,2,Bachelors/Family,1
2,6000,1000,1,"Kodalia, Hooghly-Chinsurah",Kolkata,2,Bachelors/Family,1
2,8500,800,1,Baguiati,Kolkata,1,Bachelors/Family,1
2,12500,850,1,"Rabindra Sarobar Area, Dhakuria",Kolkata,1,Bachelors/Family,2
