Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2022-05-18,2,10000,1100,Ground out of 2,1,Bandel,1,1,Bachelors/Family,2
2022-05-13,2,20000,800,1 out of 3,1,"Phool Bagan, Kankurgachi",1,2,Bachelors/Family,1
2022-05-16,2,17000,1000,1 out of 3,1,Salt Lake City Sector 2,1,2,Bachelors/Family,1
2022-07-04,2,10000,800,1 out of 2,1,Dumdum Park,1,1,Bachelors/Family,1
2022-05-09,2,7500,850,1 out of 2,2,South Dum Dum,1,1,Bachelors,1
2022-04-29,2,7000,600,Ground out of 1,1,Thakurpukur,1,1,Bachelors/Family,2
2022-06-21,2,10000,700,Ground out of 4,1,Malancha,1,1,Bachelors,2
2022-06-21,1,5000,250,1 out of 2,1,Malancha,1,1,Bachelors,1
2022-06-07,2,26000,800,1 out of 2,2,"Palm Avenue Kolkata, Ballygunge",1,1,Bachelors,2
2022-06-20,2,10000,1000,1 out of 3,2,Natunhat,1,2,Bachelors/Family,2
2022-05-23,3,25000,1200,1 out of 4,2,"Action Area 1, Rajarhat Newtown",1,2,Bachelors/Family,2
2022-06-07,1,5000,400,1 out of 1,2,Keshtopur,1,1,Bachelors/Family,1
2022-05-14,1,6500,250,1 out of 4,2,"Tarulia, Keshtopur",1,2,Bachelors,1
2022-05-09,1,5500,375,1 out of 2,2,Dum Dum Metro,1,1,Bachelors/Family,1
2022-05-05,3,8500,900,Ground out of 2,2,Paschim Barisha,1,1,Bachelors,2
2022-06-01,3,40000,1286,1 out of 1,2,New Town Action Area 1,1,2,Bachelors/Family,2
2022-05-17,2,6000,600,1 out of 2,1,Barasat,1,2,Bachelors/Family,1
2022-06-20,2,10000,800,Ground out of 2,1,Behala,1,1,Bachelors/Family,1
2022-06-09,2,11000,2000,Ground out of 3,2,Behala Chowrasta,1,1,Bachelors/Family,1
2022-06-09,2,6000,660,1 out of 2,1,Behala,1,1,Bachelors/Family,1
2022-07-02,2,7900,650,1 out of 2,2,Santoshpur,1,1,Family,1
2022-06-14,2,9000,400,2 out of 3,2,"Garia Station, Garia",1,1,Bachelors,2
2022-06-15,1,4000,300,Ground out of 4,2,"Garia Station, Garia",1,1,Bachelors/Family,1
2022-06-15,3,6500,1600,Ground out of 2,1,Joka,1,1,Bachelors/Family,1
2022-05-28,1,8000,400,1 out of 2,1,Sreebhumi,1,2,Bachelors,1
2022-05-22,2,7000,1000,1 out of 1,1,Rajarhat,1,1,Bachelors/Family,1
2022-06-18,1,5300,355,1 out of 1,2,Dum Dum,1,2,Bachelors/Family,1
2022-06-25,2,6000,1000,Ground out of 3,1,"Kodalia, Hooghly-Chinsurah",1,2,Bachelors/Family,1
