customer_id,age,gender,dependents,occupation,city,customer_nw_category,branch_code,churn
1,66,1,0,1,187,2,755,0
2,35,1,0,1,,2,3214,0
4,31,1,0,0,146,2,41,0
5,90,,,1,1020,2,582,1
6,42,1,2,1,1494,3,388,1
7,42,0,0,1,1096,2,1666,0
8,72,1,0,3,1020,1,1,0
9,46,1,0,1,623,2,317,0
10,31,1,0,0,1096,2,4110,0
11,40,1,3,1,1020,2,38,0
12,68,1,0,3,409,3,709,0
13,32,1,0,0,1096,1,89,0
14,73,1,0,3,44,3,409,1
15,50,1,0,0,409,1,88,0
16,48,0,0,1,665,2,569,1
17,51,0,0,1,1232,3,149,0
19,49,1,0,1,1125,3,1023,1
20,52,0,0,1,1096,2,32,0
21,47,0,1,1,146,1,490,0
22,41,0,0,1,1020,2,542,1
23,45,1,0,1,1020,2,501,1
24,29,0,0,1,1020,2,1106,1
25,41,0,0,1,905,2,1388,0
26,34,1,0,1,931,2,671,0
27,48,1,2,0,218,2,221,1
28,76,1,,1,1533,3,881,0
29,36,1,2,1,1563,1,58,0
30,56,1,0,1,836,3,2421,0
31,55,1,0,1,118,1,325,0
32,33,0,0,0,834,2,14,0
33,66,1,0,3,1096,1,4029,1
34,64,0,0,3,1020,1,60,0
35,54,1,0,1,1366,2,797,0
36,90,,0,1,834,3,8,0
37,9,1,0,2,623,2,512,0
38,52,1,7,1,549,2,264,0
39,51,1,0,1,630,2,36,0
40,54,1,3,1,1271,2,101,0
41,47,1,0,1,834,2,1130,0
42,34,1,0,0,485,3,823,0
43,69,1,0,3,146,2,17,0
44,90,,,1,,3,2939,0
45,44,0,0,1,146,2,1993,1
46,55,0,0,1,146,1,509,0
47,17,0,0,2,630,2,36,0
48,48,1,2,1,579,2,3660,0
49,41,1,0,1,52,2,654,0
50,4,1,0,2,318,3,1314,0
51,52,1,3,1,1002,2,303,1
52,30,0,0,1,409,2,2072,1
54,45,0,0,1,1096,2,438,0
55,43,1,0,0,480,3,249,0
56,65,1,0,1,1494,2,955,0
57,34,1,0,1,146,3,353,0
58,51,0,0,1,1020,2,15,0
59,72,0,0,1,485,3,717,0
60,44,1,0,1,759,3,2530,1
61,19,0,,2,834,2,2754,0
62,43,0,0,1,491,3,615,0
63,49,1,1,1,814,2,84,0
64,68,0,0,1,1111,2,88,0
65,45,1,0,0,1322,2,176,0
66,45,0,0,1,15,2,890,0
67,13,1,,2,1589,3,2444,0
68,67,1,2,1,1111,2,150,0
69,76,0,0,1,1020,2,47,0
70,60,1,2,1,1178,2,526,0
